"Frequenz (Hz)","Zeit (s)","FFT Mag (arb. unit)"
4.723388672E3,6.826666667E-1,4.133400994E1
4.746826172E3,6.826666667E-1,3.510670941E1
4.770263672E3,6.826666667E-1,2.803254226E1
4.793701172E3,6.826666667E-1,3.588999889E1
4.817138672E3,6.826666667E-1,6.347132976E1
4.840576172E3,6.826666667E-1,5.102542070E1
4.864013672E3,6.826666667E-1,5.592138022E1
4.887451172E3,6.826666667E-1,2.777585109E1
4.910888672E3,6.826666667E-1,4.168477180E1
4.934326172E3,6.826666667E-1,3.926830265E1
4.957763672E3,6.826666667E-1,3.837884075E1
4.981201172E3,6.826666667E-1,3.383142427E1
5.004638672E3,6.826666667E-1,1.504081278E1
5.028076172E3,6.826666667E-1,1.792726156E1
5.051513672E3,6.826666667E-1,1.733626716E1
5.074951172E3,6.826666667E-1,2.263272469E1
5.098388672E3,6.826666667E-1,2.616196047E1
5.121826172E3,6.826666667E-1,3.992426483E1
5.145263672E3,6.826666667E-1,5.569940073E1
5.168701172E3,6.826666667E-1,3.943097926E1
5.192138672E3,6.826666667E-1,5.527556338E1
5.215576172E3,6.826666667E-1,6.159680220E1
5.239013672E3,6.826666667E-1,4.735504310E1
5.262451172E3,6.826666667E-1,6.941384752E1
5.285888672E3,6.826666667E-1,3.957279449E1
5.309326172E3,6.826666667E-1,3.931197354E1
5.332763672E3,6.826666667E-1,3.005909078E1
5.356201172E3,6.826666667E-1,4.294110148E1
5.379638672E3,6.826666667E-1,2.834632155E1
5.403076172E3,6.826666667E-1,3.027262157E1
5.426513672E3,6.826666667E-1,4.426506969E1
5.449951172E3,6.826666667E-1,4.458424006E1
5.473388672E3,6.826666667E-1,4.431658554E1
5.496826172E3,6.826666667E-1,5.364475384E1
5.520263672E3,6.826666667E-1,3.314180692E1
5.543701172E3,6.826666667E-1,4.687316997E1
5.567138672E3,6.826666667E-1,3.260649090E1
5.590576172E3,6.826666667E-1,4.916892015E1
5.614013672E3,6.826666667E-1,2.454176525E1
5.637451172E3,6.826666667E-1,2.886166730E1
5.660888672E3,6.826666667E-1,4.850675081E1
5.684326172E3,6.826666667E-1,4.487295303E1
5.707763672E3,6.826666667E-1,7.602523390E1
5.731201172E3,6.826666667E-1,4.504699946E1
5.754638672E3,6.826666667E-1,5.340270850E1
5.778076172E3,6.826666667E-1,4.404259853E1
5.801513672E3,6.826666667E-1,5.795317188E1
5.824951172E3,6.826666667E-1,5.135438835E1
5.848388672E3,6.826666667E-1,5.984329981E1
5.871826172E3,6.826666667E-1,3.060298380E1
5.895263672E3,6.826666667E-1,3.522145204E1
5.918701172E3,6.826666667E-1,4.548501494E1
5.942138672E3,6.826666667E-1,5.080310243E1
5.965576172E3,6.826666667E-1,3.331380657E1
5.989013672E3,6.826666667E-1,2.414608273E1
1.245117188E1,1.365333333E0,4.852439188E0
3.588867188E1,1.365333333E0,2.867872616E0
5.932617188E1,1.365333333E0,1.679788144E0
8.276367188E1,1.365333333E0,6.625295988E-1
1.062011719E2,1.365333333E0,4.694564927E-1
1.296386719E2,1.365333333E0,9.693225995E-1
1.530761719E2,1.365333333E0,1.844300087E0
1.765136719E2,1.365333333E0,9.614417223E-1
1.999511719E2,1.365333333E0,1.071153408E0
2.233886719E2,1.365333333E0,3.134730975E0
2.468261719E2,1.365333333E0,4.698195798E0
2.702636719E2,1.365333333E0,4.611342203E0
2.937011719E2,1.365333333E0,1.871051562E0
3.171386719E2,1.365333333E0,6.962839454E-1
3.405761719E2,1.365333333E0,1.292182491E0
3.640136719E2,1.365333333E0,2.014025469E0
3.874511719E2,1.365333333E0,7.988341731E-1
4.108886719E2,1.365333333E0,1.474261808E0
4.343261719E2,1.365333333E0,2.973458385E0
4.577636719E2,1.365333333E0,1.863091130E0
4.812011719E2,1.365333333E0,4.411091431E0
5.046386719E2,1.365333333E0,2.968616572E0
5.280761719E2,1.365333333E0,1.665244208E0
5.515136719E2,1.365333333E0,3.508705973E0
5.749511719E2,1.365333333E0,3.371192459E0
5.983886719E2,1.365333333E0,5.328405135E0
6.218261719E2,1.365333333E0,3.386553039E0
6.452636719E2,1.365333333E0,2.623463988E0
6.687011719E2,1.365333333E0,2.079040741E0
6.921386719E2,1.365333333E0,2.579072634E0
7.155761719E2,1.365333333E0,1.046978989E0
7.390136719E2,1.365333333E0,9.682450517E-1
7.624511719E2,1.365333333E0,9.776229747E-1
7.858886719E2,1.365333333E0,6.181135967E-1
8.093261719E2,1.365333333E0,9.334856400E-1
8.327636719E2,1.365333333E0,3.303166002E0
8.562011719E2,1.365333333E0,1.505196391E0
8.796386719E2,1.365333333E0,1.510047311E0
9.030761719E2,1.365333333E0,1.776074949E0
9.265136719E2,1.365333333E0,1.809444516E0
9.499511719E2,1.365333333E0,2.836882300E0
9.733886719E2,1.365333333E0,5.201635476E0
9.968261719E2,1.365333333E0,3.702850210E0
1.020263672E3,1.365333333E0,3.121754380E0
1.043701172E3,1.365333333E0,4.111397769E0
1.067138672E3,1.365333333E0,3.428684203E0
1.090576172E3,1.365333333E0,2.319092738E0
1.114013672E3,1.365333333E0,1.594509664E0
1.137451172E3,1.365333333E0,2.474489248E0
1.160888672E3,1.365333333E0,5.029162810E0
1.184326172E3,1.365333333E0,3.018997296E0
1.207763672E3,1.365333333E0,2.993648834E0
1.231201172E3,1.365333333E0,1.600493888E0
1.254638672E3,1.365333333E0,1.164620591E0
1.278076172E3,1.365333333E0,4.007341656E0
