"Frequenz (Hz)","Zeit (s)","FFT Mag (arb. unit)"
2.085937500E3,2.748754706E1,1.042254831E1
2.109375000E3,2.748754706E1,3.738139329E1
2.132812500E3,2.748754706E1,1.251010255E1
2.156250000E3,2.748754706E1,2.045738560E1
2.179687500E3,2.748754706E1,1.862910581E1
2.203125000E3,2.748754706E1,8.164218948E0
2.226562500E3,2.748754706E1,2.469466055E0
2.250000000E3,2.748754706E1,2.726247021E1
2.273437500E3,2.748754706E1,2.527809605E1
2.296875000E3,2.748754706E1,1.394693842E1
2.320312500E3,2.748754706E1,2.039106750E1
2.343750000E3,2.748754706E1,8.382557374E0
2.367187500E3,2.748754706E1,4.667212226E0
2.390625000E3,2.748754706E1,9.165437810E0
2.414062500E3,2.748754706E1,3.826478245E0
2.437500000E3,2.748754706E1,4.968655227E0
2.460937500E3,2.748754706E1,1.302480635E1
2.484375000E3,2.748754706E1,9.324244817E0
2.507812500E3,2.748754706E1,1.908692428E1
2.531250000E3,2.748754706E1,1.043513350E1
2.554687500E3,2.748754706E1,9.825092611E0
2.578125000E3,2.748754706E1,3.801557919E0
2.601562500E3,2.748754706E1,8.970147192E0
2.625000000E3,2.748754706E1,8.090543472E0
2.648437500E3,2.748754706E1,4.812740018E0
2.671875000E3,2.748754706E1,1.333346147E1
2.695312500E3,2.748754706E1,1.453159588E1
2.718750000E3,2.748754706E1,2.321972149E1
2.742187500E3,2.748754706E1,2.436049969E1
2.765625000E3,2.748754706E1,8.817604199E0
2.789062500E3,2.748754706E1,2.202047157E1
2.812500000E3,2.748754706E1,9.776621998E0
2.835937500E3,2.748754706E1,1.708977022E1
2.859375000E3,2.748754706E1,2.262462763E1
2.882812500E3,2.748754706E1,1.594405847E1
2.906250000E3,2.748754706E1,2.096567719E1
2.929687500E3,2.748754706E1,1.022398775E1
2.953125000E3,2.748754706E1,5.600394417E0
2.976562500E3,2.748754706E1,2.128762780E1
3.000000000E3,2.748754706E1,6.256524094E0
3.023437500E3,2.748754706E1,5.008182278E0
3.046875000E3,2.748754706E1,7.974049225E0
3.070312500E3,2.748754706E1,7.987430691E0
3.093750000E3,2.748754706E1,1.110965234E1
3.117187500E3,2.748754706E1,9.464068544E0
3.140625000E3,2.748754706E1,9.699971378E0
3.164062500E3,2.748754706E1,1.269534706E1
3.187500000E3,2.748754706E1,1.488932850E0
3.210937500E3,2.748754706E1,1.517568219E0
3.234375000E3,2.748754706E1,8.796600335E0
3.257812500E3,2.748754706E1,1.019785537E1
3.281250000E3,2.748754706E1,1.176766856E1
3.304687500E3,2.748754706E1,1.113653598E1
3.328125000E3,2.748754706E1,5.321312433E0
3.351562500E3,2.748754706E1,4.093756299E0
3.375000000E3,2.748754706E1,2.914015383E1
3.398437500E3,2.748754706E1,1.202066077E1
3.421875000E3,2.748754706E1,2.169081246E1
3.445312500E3,2.748754706E1,3.134829709E1
3.468750000E3,2.748754706E1,1.313730953E1
3.492187500E3,2.748754706E1,1.475734493E1
3.515625000E3,2.748754706E1,2.059594488E0
3.539062500E3,2.748754706E1,5.981154813E0
3.562500000E3,2.748754706E1,1.790676762E1
3.585937500E3,2.748754706E1,2.021294558E0
3.609375000E3,2.748754706E1,1.024126297E1
3.632812500E3,2.748754706E1,5.826960641E0
3.656250000E3,2.748754706E1,1.360479962E1
3.679687500E3,2.748754706E1,3.020977751E0
3.703125000E3,2.748754706E1,1.452372371E1
3.726562500E3,2.748754706E1,2.811096912E1
3.750000000E3,2.748754706E1,1.195720746E1
3.773437500E3,2.748754706E1,1.806169465E1
3.796875000E3,2.748754706E1,6.405221323E0
3.820312500E3,2.748754706E1,1.297382163E1
3.843750000E3,2.748754706E1,6.851440945E0
3.867187500E3,2.748754706E1,1.299616607E1
3.890625000E3,2.748754706E1,2.763059587E1
3.914062500E3,2.748754706E1,4.155550097E1
3.937500000E3,2.748754706E1,1.563926829E1
3.960937500E3,2.748754706E1,1.116175443E1
3.984375000E3,2.748754706E1,2.071714724E1
4.007812500E3,2.748754706E1,2.956777147E1
4.031250000E3,2.748754706E1,1.784944136E1
4.054687500E3,2.748754706E1,2.606481547E1
4.078125000E3,2.748754706E1,4.974515617E1
4.101562500E3,2.748754706E1,1.917648078E1
4.125000000E3,2.748754706E1,3.566222611E0
4.148437500E3,2.748754706E1,3.245024419E1
4.171875000E3,2.748754706E1,2.485080026E1
4.195312500E3,2.748754706E1,4.271042448E1
4.218750000E3,2.748754706E1,4.021860431E1
4.242187500E3,2.748754706E1,1.847670541E1
4.265625000E3,2.748754706E1,1.868777285E1
4.289062500E3,2.748754706E1,7.092878973E1
4.312500000E3,2.748754706E1,4.860900045E1
4.335937500E3,2.748754706E1,3.318418967E0
4.359375000E3,2.748754706E1,3.244506257E1
4.382812500E3,2.748754706E1,1.580062038E1
4.406250000E3,2.748754706E1,5.670410223E1
4.429687500E3,2.748754706E1,5.639234167E1
4.453125000E3,2.748754706E1,4.939338676E1
4.476562500E3,2.748754706E1,4.727255088E1
4.500000000E3,2.748754706E1,5.878680656E1
4.523437500E3,2.748754706E1,4.459271669E1
4.546875000E3,2.748754706E1,5.293329501E1
4.570312500E3,2.748754706E1,1.992232658E1
4.593750000E3,2.748754706E1,1.873556903E1
4.617187500E3,2.748754706E1,4.197397000E1
4.640625000E3,2.748754706E1,2.212368893E1
4.664062500E3,2.748754706E1,2.420772925E1
4.687500000E3,2.748754706E1,3.149203079E1
4.710937500E3,2.748754706E1,7.015163913E0
4.734375000E3,2.748754706E1,3.355647664E1
4.757812500E3,2.748754706E1,2.665983818E1
4.781250000E3,2.748754706E1,4.886552179E1
4.804687500E3,2.748754706E1,1.326284091E1
4.828125000E3,2.748754706E1,3.148761226E1
4.851562500E3,2.748754706E1,2.726643775E1
4.875000000E3,2.748754706E1,6.865015113E0
4.898437500E3,2.748754706E1,2.732950075E1
4.921875000E3,2.748754706E1,7.296286379E0
4.945312500E3,2.748754706E1,3.598850065E1
4.968750000E3,2.748754706E1,5.928527990E0
4.992187500E3,2.748754706E1,3.983897017E1
5.015625000E3,2.748754706E1,1.583775107E1
5.039062500E3,2.748754706E1,3.276129272E1
5.062500000E3,2.748754706E1,2.641688196E1
5.085937500E3,2.748754706E1,3.697174360E1
5.109375000E3,2.748754706E1,3.086813969E1
5.132812500E3,2.748754706E1,5.502429714E1
5.156250000E3,2.748754706E1,2.928467355E1
5.179687500E3,2.748754706E1,3.157513341E1
5.203125000E3,2.748754706E1,1.025104973E1
5.226562500E3,2.748754706E1,4.766906810E1
5.250000000E3,2.748754706E1,5.674450748E1
5.273437500E3,2.748754706E1,4.415406772E1
5.296875000E3,2.748754706E1,2.582159764E1
5.320312500E3,2.748754706E1,1.223754952E1
5.343750000E3,2.748754706E1,2.300781214E1
5.367187500E3,2.748754706E1,4.482838297E1
5.390625000E3,2.748754706E1,7.022139193E1
5.414062500E3,2.748754706E1,3.223752945E1
5.437500000E3,2.748754706E1,1.148904347E2
5.460937500E3,2.748754706E1,4.911259844E1
5.484375000E3,2.748754706E1,4.724161826E1
5.507812500E3,2.748754706E1,4.972128881E1
5.531250000E3,2.748754706E1,4.593907105E1
5.554687500E3,2.748754706E1,1.074919711E1
5.578125000E3,2.748754706E1,2.926720700E1
5.601562500E3,2.748754706E1,7.863133763E1
5.625000000E3,2.748754706E1,2.606714946E1
5.648437500E3,2.748754706E1,4.000837508E1
5.671875000E3,2.748754706E1,6.909448941E1
5.695312500E3,2.748754706E1,5.464564432E1
5.718750000E3,2.748754706E1,5.145471377E1
5.742187500E3,2.748754706E1,1.495480522E1
5.765625000E3,2.748754706E1,7.319688645E1
5.789062500E3,2.748754706E1,4.625580220E1
5.812500000E3,2.748754706E1,5.935078124E1
5.835937500E3,2.748754706E1,4.232019365E1
5.859375000E3,2.748754706E1,4.718247185E1
5.882812500E3,2.748754706E1,6.914500656E0
5.906250000E3,2.748754706E1,3.948835924E1
5.929687500E3,2.748754706E1,1.462640912E1
5.953125000E3,2.748754706E1,1.914377440E1
5.976562500E3,2.748754706E1,2.279882670E1
6.000000000E3,2.748754706E1,1.593739066E1
2.343750000E1,2.753021372E1,3.795298818E0
4.687500000E1,2.753021372E1,2.901202445E0
7.031250000E1,2.753021372E1,4.512836364E0
9.375000000E1,2.753021372E1,5.488021363E0
1.171875000E2,2.753021372E1,7.324804914E0
1.406250000E2,2.753021372E1,1.020259985E1
1.640625000E2,2.753021372E1,5.529149432E0
1.875000000E2,2.753021372E1,4.951880499E0
2.109375000E2,2.753021372E1,5.534841712E0
2.343750000E2,2.753021372E1,2.222533637E0
2.578125000E2,2.753021372E1,3.579789457E0
2.812500000E2,2.753021372E1,5.623918105E0
3.046875000E2,2.753021372E1,9.228543442E0
3.281250000E2,2.753021372E1,2.343987048E0
3.515625000E2,2.753021372E1,3.504452040E0
3.750000000E2,2.753021372E1,9.075504139E0
3.984375000E2,2.753021372E1,4.721457397E0
4.218750000E2,2.753021372E1,5.283790921E0
4.453125000E2,2.753021372E1,3.234335603E0
4.687500000E2,2.753021372E1,5.635619046E0
4.921875000E2,2.753021372E1,7.761382142E0
5.156250000E2,2.753021372E1,9.166558219E0
5.390625000E2,2.753021372E1,3.567295449E1
5.625000000E2,2.753021372E1,1.111659083E1
5.859375000E2,2.753021372E1,1.074360289E1
6.093750000E2,2.753021372E1,3.765601215E0
6.328125000E2,2.753021372E1,5.581682762E0
6.562500000E2,2.753021372E1,9.178170890E0
6.796875000E2,2.753021372E1,5.032695887E0
7.031250000E2,2.753021372E1,4.870380627E0
7.265625000E2,2.753021372E1,2.683089662E0
7.500000000E2,2.753021372E1,3.641483645E0
7.734375000E2,2.753021372E1,6.616800141E0
7.968750000E2,2.753021372E1,5.849664327E0
8.203125000E2,2.753021372E1,6.935119467E0
8.437500000E2,2.753021372E1,4.408906242E0
8.671875000E2,2.753021372E1,9.329415898E0
8.906250000E2,2.753021372E1,3.874080772E0
9.140625000E2,2.753021372E1,2.989566174E0
9.375000000E2,2.753021372E1,1.429968739E1
9.609375000E2,2.753021372E1,3.104881647E0
9.843750000E2,2.753021372E1,9.502913016E0
1.007812500E3,2.753021372E1,1.472224550E1
1.031250000E3,2.753021372E1,1.477806327E1
1.054687500E3,2.753021372E1,3.597560178E1
1.078125000E3,2.753021372E1,2.252166393E1
1.101562500E3,2.753021372E1,4.287779937E1
1.125000000E3,2.753021372E1,1.431298952E1
1.148437500E3,2.753021372E1,3.020467037E0
1.171875000E3,2.753021372E1,1.530783930E1
1.195312500E3,2.753021372E1,9.835809056E0
1.218750000E3,2.753021372E1,9.196507454E0
1.242187500E3,2.753021372E1,8.724351903E0
1.265625000E3,2.753021372E1,8.628921036E-1
1.289062500E3,2.753021372E1,1.737415933E1
1.312500000E3,2.753021372E1,1.194331958E1
1.335937500E3,2.753021372E1,1.257692388E1
1.359375000E3,2.753021372E1,1.004895742E1
1.382812500E3,2.753021372E1,7.977160614E0
1.406250000E3,2.753021372E1,1.498285009E1
1.429687500E3,2.753021372E1,5.400390131E0
1.453125000E3,2.753021372E1,9.974154524E0
1.476562500E3,2.753021372E1,7.403482119E0
1.500000000E3,2.753021372E1,1.097915420E1
1.523437500E3,2.753021372E1,1.177302102E1
1.546875000E3,2.753021372E1,1.228796344E1
1.570312500E3,2.753021372E1,2.203321663E1
1.593750000E3,2.753021372E1,2.496276976E1
1.617187500E3,2.753021372E1,1.065298830E1
1.640625000E3,2.753021372E1,2.879412237E1
1.664062500E3,2.753021372E1,1.848883961E1
1.687500000E3,2.753021372E1,1.761847172E1
1.710937500E3,2.753021372E1,1.209351659E1
1.734375000E3,2.753021372E1,1.286959929E1
1.757812500E3,2.753021372E1,8.273482465E0
1.781250000E3,2.753021372E1,2.775096939E0
1.804687500E3,2.753021372E1,1.064439188E1
1.828125000E3,2.753021372E1,2.219900777E1
1.851562500E3,2.753021372E1,8.333129687E0
1.875000000E3,2.753021372E1,1.911656604E0
1.898437500E3,2.753021372E1,9.365176644E0
1.921875000E3,2.753021372E1,6.999037500E0
1.945312500E3,2.753021372E1,1.395739745E1
1.968750000E3,2.753021372E1,8.796578162E0
1.992187500E3,2.753021372E1,7.873888222E0
2.015625000E3,2.753021372E1,2.502012687E1
2.039062500E3,2.753021372E1,1.879819321E1
2.062500000E3,2.753021372E1,1.820136757E1
2.085937500E3,2.753021372E1,2.339648528E1
2.109375000E3,2.753021372E1,1.751731069E1
2.132812500E3,2.753021372E1,1.050935670E1
2.156250000E3,2.753021372E1,1.101535539E1
2.179687500E3,2.753021372E1,1.683400550E1
2.203125000E3,2.753021372E1,4.527245911E0
2.226562500E3,2.753021372E1,1.944031262E1
2.250000000E3,2.753021372E1,5.952045966E1
2.273437500E3,2.753021372E1,3.119267944E1
2.296875000E3,2.753021372E1,4.250545397E1
2.320312500E3,2.753021372E1,1.860131171E1
2.343750000E3,2.753021372E1,1.944191292E1
2.367187500E3,2.753021372E1,9.871986627E0
2.390625000E3,2.753021372E1,1.378473842E1
2.414062500E3,2.753021372E1,3.337908068E0
2.437500000E3,2.753021372E1,1.113392551E1
2.460937500E3,2.753021372E1,1.826459129E1
2.484375000E3,2.753021372E1,1.196766940E1
2.507812500E3,2.753021372E1,1.516205412E1
2.531250000E3,2.753021372E1,1.189678226E1
2.554687500E3,2.753021372E1,5.852483674E0
2.578125000E3,2.753021372E1,9.028380719E0
2.601562500E3,2.753021372E1,1.271788966E1
2.625000000E3,2.753021372E1,5.674065694E0
2.648437500E3,2.753021372E1,7.966530958E0
2.671875000E3,2.753021372E1,8.907920617E0
2.695312500E3,2.753021372E1,1.956158933E1
2.718750000E3,2.753021372E1,2.176035127E1
2.742187500E3,2.753021372E1,1.826275605E1
2.765625000E3,2.753021372E1,7.472232266E0
2.789062500E3,2.753021372E1,1.583352495E1
2.812500000E3,2.753021372E1,9.700325531E0
2.835937500E3,2.753021372E1,2.171540203E1
2.859375000E3,2.753021372E1,1.000327936E1
2.882812500E3,2.753021372E1,6.096412938E0
2.906250000E3,2.753021372E1,2.957730918E0
2.929687500E3,2.753021372E1,1.454964238E1
2.953125000E3,2.753021372E1,1.195546263E1
2.976562500E3,2.753021372E1,9.001645494E0
3.000000000E3,2.753021372E1,2.422528643E1
3.023437500E3,2.753021372E1,4.887868170E0
3.046875000E3,2.753021372E1,3.574105815E0
3.070312500E3,2.753021372E1,6.817996423E0
3.093750000E3,2.753021372E1,1.883407246E1
3.117187500E3,2.753021372E1,8.895840887E0
3.140625000E3,2.753021372E1,5.409893788E0
3.164062500E3,2.753021372E1,8.849072383E0
3.187500000E3,2.753021372E1,3.146187487E1
3.210937500E3,2.753021372E1,2.490659432E1
3.234375000E3,2.753021372E1,4.562931973E0
3.257812500E3,2.753021372E1,2.282503469E0
3.281250000E3,2.753021372E1,1.647789299E1
3.304687500E3,2.753021372E1,2.849137731E1
3.328125000E3,2.753021372E1,8.002910930E0
3.351562500E3,2.753021372E1,1.057719117E1
3.375000000E3,2.753021372E1,1.216538069E1
3.398437500E3,2.753021372E1,1.163630843E1
3.421875000E3,2.753021372E1,7.328892758E0
3.445312500E3,2.753021372E1,6.041845821E0
3.468750000E3,2.753021372E1,6.172922945E0
3.492187500E3,2.753021372E1,1.739581644E1
3.515625000E3,2.753021372E1,1.654238967E1
3.539062500E3,2.753021372E1,1.328783969E1
3.562500000E3,2.753021372E1,5.756410459E0
3.585937500E3,2.753021372E1,2.768044868E1
3.609375000E3,2.753021372E1,2.238410349E1
3.632812500E3,2.753021372E1,1.057874852E1
3.656250000E3,2.753021372E1,1.683468554E1
3.679687500E3,2.753021372E1,1.558067748E1
3.703125000E3,2.753021372E1,1.638129475E1
3.726562500E3,2.753021372E1,2.327972579E1
3.750000000E3,2.753021372E1,1.114282483E1
3.773437500E3,2.753021372E1,3.367821816E1
3.796875000E3,2.753021372E1,2.079279032E1
3.820312500E3,2.753021372E1,1.090617118E1
3.843750000E3,2.753021372E1,1.214141221E1
3.867187500E3,2.753021372E1,2.099910056E1
3.890625000E3,2.753021372E1,2.416120037E1
3.914062500E3,2.753021372E1,3.354899354E1
3.937500000E3,2.753021372E1,1.146264656E1
3.960937500E3,2.753021372E1,1.805211613E1
3.984375000E3,2.753021372E1,2.101131262E1
4.007812500E3,2.753021372E1,1.704313389E1
4.031250000E3,2.753021372E1,1.076402122E1
4.054687500E3,2.753021372E1,2.882088130E1
4.078125000E3,2.753021372E1,4.907769351E1
4.101562500E3,2.753021372E1,3.556972124E1
4.125000000E3,2.753021372E1,8.015463989E0
4.148437500E3,2.753021372E1,1.630840837E1
4.171875000E3,2.753021372E1,5.143430307E1
4.195312500E3,2.753021372E1,3.904652482E1
4.218750000E3,2.753021372E1,5.001647518E1
4.242187500E3,2.753021372E1,3.408802483E1
4.265625000E3,2.753021372E1,1.940032201E1
4.289062500E3,2.753021372E1,2.874822127E1
4.312500000E3,2.753021372E1,3.253899197E1
4.335937500E3,2.753021372E1,2.586263634E1
4.359375000E3,2.753021372E1,3.503805202E1
4.382812500E3,2.753021372E1,5.213480300E1
4.406250000E3,2.753021372E1,1.134684604E2
4.429687500E3,2.753021372E1,3.565796543E1
4.453125000E3,2.753021372E1,3.818007422E1
4.476562500E3,2.753021372E1,4.890301893E1
4.500000000E3,2.753021372E1,2.086035544E1
4.523437500E3,2.753021372E1,5.843854828E1
4.546875000E3,2.753021372E1,2.591404387E1
4.570312500E3,2.753021372E1,4.346326085E1
4.593750000E3,2.753021372E1,4.899325004E1
4.617187500E3,2.753021372E1,3.900161298E1
4.640625000E3,2.753021372E1,3.799872947E1
4.664062500E3,2.753021372E1,9.818133072E0
4.687500000E3,2.753021372E1,4.103387748E1
4.710937500E3,2.753021372E1,4.414830692E1
4.734375000E3,2.753021372E1,3.809877755E1
4.757812500E3,2.753021372E1,7.450783241E0
