"Frequenz (Hz)","Zeit (s)","FFT Mag (arb. unit)"
4.500000000E3,5.139391844E0,4.577090386E0
4.523437500E3,5.139391844E0,3.148909891E0
4.546875000E3,5.139391844E0,5.565752803E0
4.570312500E3,5.139391844E0,1.308749342E1
4.593750000E3,5.139391844E0,1.221083867E1
4.617187500E3,5.139391844E0,3.335548397E0
4.640625000E3,5.139391844E0,7.320273532E0
4.664062500E3,5.139391844E0,8.959029867E0
4.687500000E3,5.139391844E0,1.792199176E1
4.710937500E3,5.139391844E0,8.372939079E0
4.734375000E3,5.139391844E0,1.742139727E1
4.757812500E3,5.139391844E0,5.846742653E0
4.781250000E3,5.139391844E0,1.244996514E1
4.804687500E3,5.139391844E0,4.984198542E0
4.828125000E3,5.139391844E0,1.326429999E0
4.851562500E3,5.139391844E0,3.522209406E0
4.875000000E3,5.139391844E0,5.632190205E0
4.898437500E3,5.139391844E0,1.284924705E1
4.921875000E3,5.139391844E0,6.308499203E0
4.945312500E3,5.139391844E0,4.161255440E0
4.968750000E3,5.139391844E0,1.011716276E1
4.992187500E3,5.139391844E0,4.343779018E0
5.015625000E3,5.139391844E0,9.767921137E0
5.039062500E3,5.139391844E0,3.222730412E0
5.062500000E3,5.139391844E0,9.082088056E0
5.085937500E3,5.139391844E0,7.597504513E0
5.109375000E3,5.139391844E0,4.641347526E0
5.132812500E3,5.139391844E0,3.641614645E0
5.156250000E3,5.139391844E0,3.475494214E0
5.179687500E3,5.139391844E0,6.332304065E0
5.203125000E3,5.139391844E0,3.460764810E0
5.226562500E3,5.139391844E0,6.427782293E0
5.250000000E3,5.139391844E0,1.931700214E0
5.273437500E3,5.139391844E0,2.431825566E0
5.296875000E3,5.139391844E0,5.037120057E0
5.320312500E3,5.139391844E0,9.840177551E-1
5.343750000E3,5.139391844E0,1.194753011E0
5.367187500E3,5.139391844E0,2.399880498E0
5.390625000E3,5.139391844E0,2.609195111E0
5.414062500E3,5.139391844E0,5.563203627E0
5.437500000E3,5.139391844E0,4.591337518E0
5.460937500E3,5.139391844E0,3.106971392E0
5.484375000E3,5.139391844E0,5.569191769E0
5.507812500E3,5.139391844E0,2.558053696E0
5.531250000E3,5.139391844E0,2.028830851E0
5.554687500E3,5.139391844E0,8.244551100E-1
5.578125000E3,5.139391844E0,7.901286100E-1
5.601562500E3,5.139391844E0,8.385299395E-1
5.625000000E3,5.139391844E0,1.363479830E0
5.648437500E3,5.139391844E0,8.055611874E-1
5.671875000E3,5.139391844E0,1.282456348E0
5.695312500E3,5.139391844E0,2.515695655E0
5.718750000E3,5.139391844E0,2.295133460E0
5.742187500E3,5.139391844E0,2.940667347E0
5.765625000E3,5.139391844E0,2.645452953E0
5.789062500E3,5.139391844E0,3.382944911E0
5.812500000E3,5.139391844E0,2.821161360E0
5.835937500E3,5.139391844E0,2.615862724E0
5.859375000E3,5.139391844E0,6.051814790E0
5.882812500E3,5.139391844E0,2.198287785E0
5.906250000E3,5.139391844E0,2.669374703E0
5.929687500E3,5.139391844E0,1.071445626E0
5.953125000E3,5.139391844E0,3.062389053E0
5.976562500E3,5.139391844E0,1.130574936E0
6.000000000E3,5.139391844E0,4.419694721E-1
2.343750000E1,5.182058511E0,1.346061461E0
4.687500000E1,5.182058511E0,6.788060201E-1
7.031250000E1,5.182058511E0,1.092761470E0
9.375000000E1,5.182058511E0,6.959965430E-1
1.171875000E2,5.182058511E0,8.071668146E-1
1.406250000E2,5.182058511E0,6.219418296E-1
1.640625000E2,5.182058511E0,1.261420126E0
1.875000000E2,5.182058511E0,3.611446165E-1
2.109375000E2,5.182058511E0,3.204820788E-1
2.343750000E2,5.182058511E0,6.680295007E-1
2.578125000E2,5.182058511E0,1.449312309E0
2.812500000E2,5.182058511E0,6.440896738E-1
3.046875000E2,5.182058511E0,8.800272984E-1
3.281250000E2,5.182058511E0,1.194925780E0
3.515625000E2,5.182058511E0,6.347472315E-1
3.750000000E2,5.182058511E0,9.593247536E-1
3.984375000E2,5.182058511E0,1.249808141E0
4.218750000E2,5.182058511E0,1.355932794E0
4.453125000E2,5.182058511E0,1.137219662E0
4.687500000E2,5.182058511E0,1.370166657E0
4.921875000E2,5.182058511E0,1.915536739E0
5.156250000E2,5.182058511E0,6.412937911E-1
5.390625000E2,5.182058511E0,5.509616242E-1
5.625000000E2,5.182058511E0,5.344036637E-1
5.859375000E2,5.182058511E0,7.315555245E-1
6.093750000E2,5.182058511E0,5.000392352E-1
6.328125000E2,5.182058511E0,1.013988978E0
6.562500000E2,5.182058511E0,1.861356581E0
6.796875000E2,5.182058511E0,1.544057512E0
7.031250000E2,5.182058511E0,1.593492839E0
7.265625000E2,5.182058511E0,2.942245736E-1
7.500000000E2,5.182058511E0,2.588839413E0
7.734375000E2,5.182058511E0,9.385323414E-1
7.968750000E2,5.182058511E0,1.829707706E0
8.203125000E2,5.182058511E0,3.164704884E0
8.437500000E2,5.182058511E0,2.815812033E0
8.671875000E2,5.182058511E0,1.859565620E0
8.906250000E2,5.182058511E0,3.432056666E0
9.140625000E2,5.182058511E0,6.947995020E-1
9.375000000E2,5.182058511E0,9.151349527E-1
9.609375000E2,5.182058511E0,1.949951493E0
9.843750000E2,5.182058511E0,1.207685633E0
1.007812500E3,5.182058511E0,2.923888143E0
1.031250000E3,5.182058511E0,4.438770886E0
1.054687500E3,5.182058511E0,1.997729508E0
1.078125000E3,5.182058511E0,4.665714463E-1
1.101562500E3,5.182058511E0,2.529678139E0
1.125000000E3,5.182058511E0,5.897224966E-1
1.148437500E3,5.182058511E0,1.352975319E0
1.171875000E3,5.182058511E0,1.421994803E0
1.195312500E3,5.182058511E0,1.136266287E0
1.218750000E3,5.182058511E0,2.091642470E0
1.242187500E3,5.182058511E0,1.778866376E0
1.265625000E3,5.182058511E0,1.473218734E0
1.289062500E3,5.182058511E0,3.257566875E-1
1.312500000E3,5.182058511E0,8.023417535E-1
1.335937500E3,5.182058511E0,3.844171172E-1
1.359375000E3,5.182058511E0,9.488726531E-1
1.382812500E3,5.182058511E0,3.918565199E-1
1.406250000E3,5.182058511E0,3.376812951E0
1.429687500E3,5.182058511E0,1.195141534E0
1.453125000E3,5.182058511E0,1.291603601E0
1.476562500E3,5.182058511E0,2.816269134E0
1.500000000E3,5.182058511E0,1.017507762E0
1.523437500E3,5.182058511E0,3.099025558E0
1.546875000E3,5.182058511E0,4.628063135E0
1.570312500E3,5.182058511E0,3.956515609E0
1.593750000E3,5.182058511E0,7.237238062E0
1.617187500E3,5.182058511E0,5.304928761E0
1.640625000E3,5.182058511E0,4.336820948E0
1.664062500E3,5.182058511E0,2.648275538E0
1.687500000E3,5.182058511E0,4.660001966E-1
1.710937500E3,5.182058511E0,1.887061482E0
1.734375000E3,5.182058511E0,1.893858988E0
1.757812500E3,5.182058511E0,6.398978546E0
1.781250000E3,5.182058511E0,5.217433197E0
1.804687500E3,5.182058511E0,1.692105974E0
1.828125000E3,5.182058511E0,2.114677194E0
1.851562500E3,5.182058511E0,2.165141733E0
1.875000000E3,5.182058511E0,8.766781162E0
1.898437500E3,5.182058511E0,6.193977978E0
1.921875000E3,5.182058511E0,9.887195459E-1
1.945312500E3,5.182058511E0,3.670749480E0
1.968750000E3,5.182058511E0,1.518150255E0
1.992187500E3,5.182058511E0,2.422718918E0
2.015625000E3,5.182058511E0,4.123690707E0
2.039062500E3,5.182058511E0,5.978666037E0
2.062500000E3,5.182058511E0,3.484386097E0
2.085937500E3,5.182058511E0,8.597951439E0
2.109375000E3,5.182058511E0,5.759548925E0
2.132812500E3,5.182058511E0,4.955352858E0
2.156250000E3,5.182058511E0,6.135934944E0
2.179687500E3,5.182058511E0,4.142960511E0
2.203125000E3,5.182058511E0,4.607474687E0
2.226562500E3,5.182058511E0,1.689004143E0
2.250000000E3,5.182058511E0,1.801390051E0
2.273437500E3,5.182058511E0,3.190432158E0
2.296875000E3,5.182058511E0,2.000504624E0
2.320312500E3,5.182058511E0,6.377161212E0
2.343750000E3,5.182058511E0,9.467809823E0
2.367187500E3,5.182058511E0,7.377243375E0
2.390625000E3,5.182058511E0,1.013899721E1
2.414062500E3,5.182058511E0,9.110250316E-1
2.437500000E3,5.182058511E0,2.360208426E0
2.460937500E3,5.182058511E0,3.791984942E0
2.484375000E3,5.182058511E0,1.049437665E1
2.507812500E3,5.182058511E0,5.162077776E0
2.531250000E3,5.182058511E0,3.393001676E0
2.554687500E3,5.182058511E0,5.618547915E0
2.578125000E3,5.182058511E0,4.686844527E0
2.601562500E3,5.182058511E0,4.514471095E0
2.625000000E3,5.182058511E0,3.085274253E0
2.648437500E3,5.182058511E0,4.907834172E0
2.671875000E3,5.182058511E0,4.796229740E0
2.695312500E3,5.182058511E0,2.021856082E0
2.718750000E3,5.182058511E0,1.603983447E0
2.742187500E3,5.182058511E0,5.945347344E0
2.765625000E3,5.182058511E0,1.187655423E0
2.789062500E3,5.182058511E0,1.340226780E0
2.812500000E3,5.182058511E0,1.756379508E0
2.835937500E3,5.182058511E0,1.148605079E0
2.859375000E3,5.182058511E0,5.887374093E-1
2.882812500E3,5.182058511E0,3.407193763E0
2.906250000E3,5.182058511E0,2.243814385E0
2.929687500E3,5.182058511E0,1.993577820E0
2.953125000E3,5.182058511E0,2.825696153E0
2.976562500E3,5.182058511E0,6.216538773E-1
3.000000000E3,5.182058511E0,1.211891816E0
3.023437500E3,5.182058511E0,2.177968747E0
3.046875000E3,5.182058511E0,1.240741970E0
3.070312500E3,5.182058511E0,6.494639599E-1
3.093750000E3,5.182058511E0,3.741880192E0
3.117187500E3,5.182058511E0,2.069359238E0
3.140625000E3,5.182058511E0,1.691040349E0
3.164062500E3,5.182058511E0,1.490419349E0
3.187500000E3,5.182058511E0,2.915328658E-1
3.210937500E3,5.182058511E0,3.986802709E0
3.234375000E3,5.182058511E0,3.528255708E0
3.257812500E3,5.182058511E0,1.237089536E0
3.281250000E3,5.182058511E0,1.400180268E0
3.304687500E3,5.182058511E0,1.421202959E0
3.328125000E3,5.182058511E0,5.550686131E0
3.351562500E3,5.182058511E0,7.141794750E-1
3.375000000E3,5.182058511E0,2.411024142E0
3.398437500E3,5.182058511E0,1.972195784E0
3.421875000E3,5.182058511E0,5.067394299E0
3.445312500E3,5.182058511E0,2.426688390E0
3.468750000E3,5.182058511E0,2.206951408E0
3.492187500E3,5.182058511E0,6.706782305E0
3.515625000E3,5.182058511E0,1.676450439E0
3.539062500E3,5.182058511E0,8.052366446E0
3.562500000E3,5.182058511E0,8.825414981E-1
3.585937500E3,5.182058511E0,6.426329236E0
3.609375000E3,5.182058511E0,1.088575811E1
3.632812500E3,5.182058511E0,3.555117389E0
3.656250000E3,5.182058511E0,5.161115646E0
3.679687500E3,5.182058511E0,3.952894781E0
3.703125000E3,5.182058511E0,9.191793552E0
3.726562500E3,5.182058511E0,2.311177622E0
3.750000000E3,5.182058511E0,1.326516556E1
3.773437500E3,5.182058511E0,8.183058702E0
3.796875000E3,5.182058511E0,1.249798412E1
3.820312500E3,5.182058511E0,4.996174568E0
3.843750000E3,5.182058511E0,3.347518393E0
3.867187500E3,5.182058511E0,1.564287662E1
3.890625000E3,5.182058511E0,2.488935355E1
3.914062500E3,5.182058511E0,7.191576829E0
3.937500000E3,5.182058511E0,3.345655180E0
3.960937500E3,5.182058511E0,1.122986770E1
3.984375000E3,5.182058511E0,2.404940891E1
4.007812500E3,5.182058511E0,6.198671797E0
4.031250000E3,5.182058511E0,3.456311584E0
4.054687500E3,5.182058511E0,1.122261056E1
4.078125000E3,5.182058511E0,5.272974291E0
4.101562500E3,5.182058511E0,1.306339446E1
4.125000000E3,5.182058511E0,2.889337843E1
4.148437500E3,5.182058511E0,8.450697040E0
4.171875000E3,5.182058511E0,4.319648254E0
4.195312500E3,5.182058511E0,1.426345541E1
4.218750000E3,5.182058511E0,1.341838743E1
4.242187500E3,5.182058511E0,5.999025299E0
4.265625000E3,5.182058511E0,8.856432431E0
4.289062500E3,5.182058511E0,1.785809198E0
4.312500000E3,5.182058511E0,1.678629616E1
4.335937500E3,5.182058511E0,2.133630626E1
4.359375000E3,5.182058511E0,2.009901412E1
4.382812500E3,5.182058511E0,1.217253894E1
4.406250000E3,5.182058511E0,1.904581277E1
4.429687500E3,5.182058511E0,1.309459638E1
4.453125000E3,5.182058511E0,1.417940491E1
4.476562500E3,5.182058511E0,9.496791871E0
4.500000000E3,5.182058511E0,6.874759254E0
4.523437500E3,5.182058511E0,4.400474204E0
4.546875000E3,5.182058511E0,1.393964651E1
4.570312500E3,5.182058511E0,6.314852396E0
4.593750000E3,5.182058511E0,1.175418448E1
4.617187500E3,5.182058511E0,1.190870053E1
4.640625000E3,5.182058511E0,1.032314967E1
4.664062500E3,5.182058511E0,1.392910547E1
4.687500000E3,5.182058511E0,4.737497651E0
4.710937500E3,5.182058511E0,1.321285890E1
